Beach Energy,ordinary,BPT,F,2.0,-,2.75,100,3,-,0.75,1.5,3 Sep,9 Sep,27 Sep,0,,
Bega Cheese Ltd,ordinary,BGA,F,4.0,-,7.5,100,4,-,3.0,3.5,27 Aug,2 Sep,16 Sep,0,,
Bell Financial Grp,ordinary,BFG,I,1.0,-,1.0,100,-,-,-,1.0,29 Aug,4 Sep,25 Sep,0,,
Bendigo & Adelaide Bk,ordinary,BEN,F,31.0,-,61.0,100,3,3,30.0,30.0,23 Aug,29 Aug,30 Sep,0,,
Bendigo & Adelaide Bk,reset preference,BENPB,Q1,74.71,-,74.71,100,-,-,256.98,83.45,20 Aug,26 Aug,16 Sep,0,,
Bendigo & Adelaide Bk,step up non-cum pref,BENPC,I,81.0,-,81.0,100,-,-,327.0,94.0,18 Sep,24 Sep,10 Oct,0,,
Berklee,ordinary,BER,F,5.0,-,5.0,-,-,-,-,-,8 Oct,14 Oct,31 Oct,0,,
BetaSharesHighIntCash,etf units,AAA,I,14.5923,-,14.5923,-,-,-,16.8176,-,2 Sep,6 Sep,17 Sep,0,,
Beyond Int'l,ordinary,BYI,F,4.0,-,7.0,-,-,-,3.0,3.0,16 Sep,20 Sep,18 Oct,0,,
BHP Billiton,ordinary,BHP,F,64.3789,-,119.9459,100,-,-,51.0717,55.0834,2 Sep,6 Sep,25 Sep,0,,
BigAir Grp,ordinary,BGL,F,1.0,-,1.0,100,-,-,-,1.0,26 Aug,30 Aug,30 Sep,0,,
Bisalloy Steel,ordinary,BIS,F,4.0,-,4.0,100,3,-,-,-,31 Oct,7 Nov,20 Nov,0,,
Blackmores,ordinary,BKL,F,83.0,-,127.0,100,3,-,44.0,83.0,24 Sep,30 Sep,18 Oct,0,,
Blackwall Property,ordinary,BWF,F,0.6,-,1.1,100,-,-,-,0.5,14 Oct,18 Oct,31 Oct,0,,
Blue Sky Alt Invest,ordinary,BLA,F,6.0,-,6.0,100,-,-,-,6.0,9 Sep,13 Sep,27 Sep,0,,
Boral,ordinary,BLD,F,6.0,-,11.0,100,3,-,7.5,3.5,27 Aug,2 Sep,27 Sep,0,,
Brambles,ordinary,BXB,F,13.5,-,27.0,30.00,4,-,13.0,13.0,9 Sep,13 Sep,10 Oct,0,,
Breville Grp,ordinary,BRG,F,12.0,-,26.0,100,4,-,12.5,11.5,13 Sep,19 Sep,10 Oct,0,,
Brierty,ordinary,BYL,F,1.75,-,3.0,100,-,-,1.0,1.75,13 Sep,19 Sep,3 Oct,0,,
Cabcharge Aust,ordinary,CAB,F,12.0,-,30.0,100,-,-,17.0,18.0,23 Sep,27 Sep,30 Oct,0,,
Cadence Capital,ordinary,CDM,F,5.0,-,11.0,100,3,-,4.5,8.0,16 Sep,20 Sep,30 Sep,0,,
Calibre Grp Ltd,ordinary,CGH,F,1.8,-,7.6,100,3,-,-,-,2 Sep,6 Sep,27 Sep,0,,
Calliden Grp,ordinary,CIX,I,0.5,-,0.5,100,4,-,-,-,10 Sep,16 Sep,30 Sep,0,,
Caltex Aust,ordinary,CTX,I,17.0,-,17.0,100,-,-,17.0,-,4 Sep,10 Sep,2 Oct,0,,
Capitol Health,ordinary,CAJ,F,0.3,-,0.55,100,3,-,0.2,0.2,23 Sep,27 Sep,25 Oct,0,,
Cardno,ordinary,CDD,F,18.0,-,36.0,100,3,-,18.0,18.0,9 Sep,13 Sep,11 Oct,0,,
Careers Multilist,ordinary,CGR,F,0.5,-,1.0,100,-,-,0.5,0.5,30 Sep,4 Oct,25 Oct,0,,
Carlton Invest,ordinary,CIN,F,58.0,-,92.0,100,4,4,32.0,52.0,28 Aug,3 Sep,18 Sep,0,,
Carlton Invest,7% cum.pref.,CINPA,F,7.0,-,14.0,100,4,4,7.0,7.0,28 Aug,3 Sep,18 Sep,0,,
carsales.com,ordinary,CRZ,F,15.6,-,28.3,100,-,-,11.3,19.2,5 Sep,11 Sep,25 Sep,0,,
Cash Convert,ordinary,CCV,F,2.0,-,4.0,100,3,-,1.75,1.75,9 Sep,13 Sep,27 Sep,0,,
Cedar Woods Prop,ordinary,CWP,F,15.0,-,26.0,100,3,3,11.0,14.0,30 Sep,4 Oct,30 Oct,0,,
Century Aust,ordinary,CYA,F,1.45,-,2.85,100,4,-,1.3,1.4,28 Aug,3 Sep,17 Sep,0,,
Challenger,ordinary,CGF,F,10.5,-,20.0,-,-,-,7.5,10.5,2 Sep,6 Sep,27 Sep,0,,
Chalmers,ordinary,CHR,F,5.0,-,10.0,100,-,-,10.0,5.0,12 Sep,18 Sep,2 Oct,0,,
Chandler Macleod,ordinary,CMG,F,1.8,-,3.2,100,3,-,1.2,1.6,4 Sep,10 Sep,1 Oct,0,,
Clearview Wealth,ordinary,CVW,F,1.8,-,1.8,100,3,-,2.2,-,24 Sep,30 Sep,8 Oct,0,,
CMI,ordinary,CMI,F,6.0,-,6.0,100,-,-,-,-,28 Aug,3 Sep,4 Oct,0,,
Coca-Cola Amatil,ordinary,CCL,I,26.5,-,26.5,67.92,3,-,24.0,-,23 Aug,29 Aug,1 Oct,0,,
Cochlear,ordinary,COH,F,127.0,-,252.0,30.00,-,-,120.0,125.0,23 Aug,29 Aug,19 Sep,0,,
Codan,ordinary,CDA,F,7.0,-,13.0,100,-,-,4.0,5.5,9 Sep,13 Sep,1 Oct,0,,
Collection House,ordinary,CLH,F,3.6,-,7.2,100,3,-,3.2,3.2,2 Oct,9 Oct,30 Oct,0,,
Colorpak,ordinary,CKL,F,1.75,-,3.5,100,-,-,1.5,1.75,30 Aug,5 Sep,1 Oct,0,,
C'wlth Bank  of Aust,ordinary,CBA,F,200.0,-,364.0,100,3,-,137.0,197.0,19 Aug,23 Aug,3 Oct,0,,
C'wlth Bank  of Aust,perp.exc.(perls v),CBAPA,I,214.2,-,214.2,100,-,-,816.15,246.31,18 Oct,24 Oct,31 Oct,0,,
C'wlth Bank  of Aust,perp.exc.(perls vi),CBAPC,Q1,116.11,-,116.11,100,-,-,197.8,122.26,2 Sep,6 Sep,16 Sep,0,,
Computershare,ordinary,CPU,F,14.0,-,28.0,20.00,3,-,14.0,14.0,20 Aug,26 Aug,17 Sep,0,,
Contango Microcap,ordinary,CTN,F,4.0,-,7.8,50.00,3,-,3.8,4.7,26 Aug,30 Aug,24 Sep,0,,
Corporate Travel,ordinary,CTD,F,6.5,-,10.5,100,-,-,3.0,6.0,5 Sep,11 Sep,11 Oct,0,,
Countplus,ordinary,CUP,I,3.0,-,6.0,100,-,-,9.0,3.0,21 Oct,25 Oct,15 Nov,0,,
Country Road,ordinary,CTY,F,43.86,-,43.86,100,-,-,7.58,-,6 Sep,12 Sep,26 Sep,0,,
Coventry Grp,ordinary,CYG,F,11.0,-,22.0,100,4,-,11.0,11.0,2 Sep,6 Sep,20 Sep,0,,
Credit Corp Grp,ordinary,CCP,F,17.0,-,37.0,100,4,-,13.0,16.0,23 Sep,27 Sep,4 Oct,0,,
Crowe Horwath,ordinary,CRH,F,2.0,-,2.0,100,3,-,-,-,30 Sep,4 Oct,4 Nov,0,,
Crown,ordinary,CWN,F,19.0,-,37.0,50.00,-,-,18.0,19.0,23 Sep,27 Sep,11 Oct,0,,
Cryosite,ordinary,CTE,F,1.0,-,1.5,-,-,-,0.5,0.5,23 Sep,27 Sep,23 Oct,0,,
CSL,ordinary,CSL,F,56.98,-,105.64,-,4,-,36.0,47.0,9 Sep,13 Sep,4 Oct,0,,
CVC,ordinary,CVC,F,3.0,-,5.0,100,4,-,2.0,3.0,4 Sep,10 Sep,17 Sep,0,,
Data#3,ordinary,DTL,F,3.55,-,7.0,100,4,-,3.45,3.55,10 Sep,16 Sep,30 Sep,0,,
Decmil Grp,ordinary,DCG,F,8.0,-,12.0,100,-,-,2.5,7.5,2 Sep,6 Sep,27 Sep,0,,
Delta SBD,ordinary,DSB,F,1.8,-,3.6,100,3,-,1.5,2.5,10 Sep,16 Sep,26 Sep,0,,
Diversified United Inv,ordinary,DUI,F,7.5,-,13.5,100,3,-,6.0,7.0,23 Aug,29 Aug,25 Sep,0,,
Downer EDI,ordinary,DOW,F,11.0,-,21.0,70.00,3,-,-,-,14 Aug,20 Aug,24 Sep,0,,
DWS,ordinary,DWS,F,5.5,-,11.0,100,-,-,6.25,6.25,9 Sep,13 Sep,4 Oct,0,,
eBet,ordinary,EBT,F,3.5,-,3.5,50.00,-,-,-,-,9 Sep,13 Sep,27 Sep,0,,
Echo Entertainment,ordinary,EGP,F,2.0,-,6.0,100,3,-,4.0,-,27 Aug,2 Sep,9 Oct,0,,
Ecosave Hldgs Ltd,ordinary,ECV,F,4.1,-,4.1,100,3,-,-,-,2 Sep,6 Sep,17 Sep,0,,
Embelton,ordinary,EMB,F,16.0,-,29.0,100,-,-,13.0,16.0,16 Sep,20 Sep,11 Oct,0,,
Emerging Leaders,ordinary,ELI,F,3.25,-,6.75,100,4,-,2.0,-,2 Sep,6 Sep,20 Sep,0,,
Emerging Markets MF,units,EMF,F,6.0,-,6.0,-,3,-,-,-,24 Jun,28 Jun,25 Sep,0,,
Empired,ordinary,EPD,F,0.5,-,0.5,100,-,-,-,-,6 Sep,12 Sep,26 Sep,0,,
Energy Developments,ordinary,ENE,F,11.0,-,11.0,34.00,-,-,-,-,22 Aug,28 Aug,20 Sep,0,,
Envestra,ordinary,ENV,F,3.2,-,6.2,-,4,-,2.9,2.9,9 Sep,13 Sep,31 Oct,0,,
Equity Trustees,ordinary,EQT,F,50.0,-,92.0,100,3,-,40.0,45.0,12 Sep,18 Sep,16 Oct,0,,
ERM Power,ordinary,EPW,F,5.5,-,10.5,100,3,-,4.0,4.5,11 Sep,17 Sep,17 Oct,0,,
Ethane Pipeline,stapled securities,EPX,Q1,3.29,-,3.29,77.51,-,-,11.8465,3.5,24 Sep,30 Sep,15 Oct,0,,
Evolution Mining,ordinary,EVN,I,1.0,-,1.0,-,-,-,-,-,5 Sep,11 Sep,26 Sep,0,,
FFI Hldgs,ordinary,FFI,F,13.5,-,23.5,100,3,-,10.0,12.0,11 Oct,17 Oct,24 Oct,0,,
Fairfax Media,ordinary,FXJ,F,1.0,-,2.0,100,4,-,2.0,1.0,28 Aug,3 Sep,17 Sep,0,,
Fantastic Hldgs,ordinary,FAN,F,3.0,-,10.5,100,-,-,6.5,6.5,25 Sep,1 Oct,15 Oct,0,,
Fiducian Portfolio,ordinary,FPS,F,3.6,-,7.0,100,-,-,2.5,2.5,2 Sep,6 Sep,20 Sep,0,,
FKP Prop Grp,stapled securities,FKP,F,-,1.0,-,-,4,-,1.4,1.4,24 Jun,28 Jun,30 Sep,0,,
Flagship Invest,ordinary,FSI,F,3.5,-,6.5,100,3,-,-,-,9 Sep,13 Sep,27 Sep,0,,
Fletcher Bldg,ordinary,FBU,F,-,-,11.6257,-,3,-,11.3931,13.5828,23 Sep,27 Sep,16 Oct,0,,
FlexiGroup,ordinary,FXL,F,7.5,-,14.5,100,4,-,6.0,6.5,9 Sep,13 Sep,18 Oct,0,,
Flight Centre,ordinary,FLT,F,91.0,-,137.0,100,-,-,41.0,71.0,16 Sep,20 Sep,18 Oct,0,,
Forge Grp,ordinary,FGE,F,8.0,-,18.0,100,-,-,6.0,8.0,4 Sep,10 Sep,26 Sep,0,,
Fortescue Metals Grp,ordinary,FMG,F,10.0,-,10.0,100,3,-,4.0,4.0,2 Sep,6 Sep,4 Oct,0,,
Freedom Foods Grp,ordinary,FNP,F,1.0,-,2.0,100,-,-,-,1.0,25 Sep,1 Oct,1 Nov,0,,
FSA Grp,ordinary,FSA,F,3.25,-,5.0,100,-,-,0.65,1.55,9 Sep,13 Sep,27 Sep,0,,
Gale Pacific,ordinary,GAP,F,1.35,-,2.65,80.00,-,-,1.2,1.25,9 Sep,13 Sep,4 Oct,0,,
Gazal Corp,ordinary,GZL,F,11.0,-,18.0,100,4,-,11.0,11.0,16 Sep,20 Sep,1 Oct,0,,
GBST Hldgs,ordinary,GBT,F,3.5,-,6.5,100,-,-,2.5,2.5,2 Oct,9 Oct,23 Oct,0,,
Goodman Fielder,ordinary,GFF,F,3.0,-,3.0,-,4,-,-,-,23 Sep,27 Sep,1 Nov,0,,
Goodman Plus Tr,step-up units,GMPPA,Q1,169.0658,-,169.0658,-,-,-,508.7552,173.274,17 Sep,23 Sep,30 Sep,1,,
GR Engineering,ordinary,GNG,F,3.0,-,5.0,100,-,-,4.0,4.0,11 Sep,17 Sep,1 Oct,0,,
Grange Res,ordinary,GRR,I,1.0,-,1.0,-,-,-,1.0,-,11 Sep,17 Sep,2 Oct,0,,
Greencross,ordinary,GXL,F,5.0,-,10.0,100,3,-,4.0,4.0,6 Sep,12 Sep,24 Sep,0,,
GWA Grp,ordinary,GWA,F,6.0,-,12.0,100,4,-,9.5,8.5,3 Sep,9 Sep,4 Oct,0,,
Hansen Tech,ordinary,HSN,F,3.0,-,6.0,100,3,-,3.0,3.0,3 Sep,9 Sep,30 Sep,0,,
Harvey Norman,ordinary,HVN,F,4.5,-,9.0,100,-,-,5.0,4.0,28 Oct,1 Nov,2 Dec,0,,
Henderson Grp,cdi 1:1,HGG,I,3.7332,-,3.7332,-,-,-,3.2237,-,26 Aug,30 Aug,20 Sep,0,,
Hills Hldgs,ordinary,HIL,F,3.25,-,3.25,100,4,-,5.0,5.0,16 Sep,20 Sep,27 Sep,0,,
Hitech Grp Aust,ordinary,HIT,F,0.5,-,0.5,100,-,-,-,-,5 Sep,11 Sep,25 Sep,0,,
Homeloans,ordinary,HOM,F,3.0,-,6.0,100,3,-,2.5,3.5,10 Sep,16 Sep,2 Oct,0,,
Hunter Hall Int'l,ordinary,HHL,F,10.0,-,18.6,75.00,3,-,16.3,15.7,5 Sep,11 Sep,25 Sep,0,,
ICSGlobal,ordinary,ICS,F,0.1,-,0.1,-,-,-,-,0.1,21 Oct,25 Oct,12 Nov,0,,
iiNet,ordinary,IIN,F,11.0,-,19.0,100,-,-,6.0,8.0,27 Aug,2 Sep,27 Sep,0,,
ILH Group,ordinary,IAW,F,0.4,-,0.6,100,3,-,-,0.8,28 Oct,1 Nov,22 Nov,0,,
Iluka Res,ordinary,ILU,I,5.0,-,5.0,100,-,-,25.0,-,29 Aug,4 Sep,2 Oct,0,,
Imdex,ordinary,IMD,F,0.4,-,2.9,100,-,-,3.25,4.0,4 Oct,11 Oct,25 Oct,0,,
IMF (Aust),ordinary,IMF,F,5.0,-,5.0,100,-,-,-,10.0,14 Oct,18 Oct,31 Oct,0,,
Imperial Pacific,ordinary,IPC,F,5.0,-,5.0,100,-,-,-,5.0,9 Sep,13 Sep,24 Sep,0,,
Independence Grp,ordinary,IGO,F,1.0,-,2.0,100,-,-,2.0,1.0,6 Sep,12 Sep,27 Sep,0,,
Infomedia,ordinary,IFM,F,1.55,-,2.82,100,-,-,1.03,1.37,27 Aug,2 Sep,20 Sep,0,,
Ingenia Grp,stapled securities,INA,F,0.5,-,1.0,-,4,-,-,0.5,30 Aug,5 Sep,20 Sep,0,,
Insurance Aust Grp,ordinary,IAG,F,25.0,-,36.0,100,3,-,5.0,12.0,5 Sep,11 Sep,9 Oct,0,,
Insurance Aust Grp,conv pref shs,IAGPC,I,241.43,-,241.43,100,-,-,282.01,-,18 Oct,24 Oct,1 Nov,0,,
InvoCare,ordinary,IVC,I,15.0,-,15.0,100,3,-,15.0,-,9 Sep,13 Sep,4 Oct,0,,
IOOF Hldgs,ordinary,IFL,F,22.5,-,42.0,100,-,-,19.0,18.0,18 Sep,24 Sep,16 Oct,0,,
IRESS,ordinary,IRE,I,13.5,-,13.5,90.00,-,-,13.5,-,13 Aug,19 Aug,27 Sep,0,,
Ironbark Capital,ordinary,IBC,I,0.5,-,0.5,100,4,-,2.0,-,11 Dec,17 Dec,27 Dec,1,,
Jetset Travelworld,ordinary,JET,F,0.5,-,1.5,100,-,-,1.1,-,16 Sep,20 Sep,4 Oct,0,,
Jumbo Interactive,ordinary,JIN,F,1.5,-,3.0,100,4,-,1.0,2.0,2 Sep,6 Sep,27 Sep,0,,
K & S Corp,ordinary,KSC,F,4.5,-,11.0,100,3,-,5.0,6.0,11 Oct,17 Oct,31 Oct,0,,
Kresta Hldgs,ordinary,KRS,F,0.25,-,0.25,100,-,-,-,-,4 Oct,11 Oct,25 Oct,0,,
Landmark White,ordinary,LMW,F,2.25,-,3.25,100,-,-,1.0,2.0,12 Sep,18 Sep,2 Oct,0,,
Laserbond,ordinary,LBL,F,0.2,-,0.4,100,3,-,0.3,0.2,4 Oct,11 Oct,25 Oct,0,,
Legend Corp,ordinary,LGD,F,1.1,-,1.7,100,4,-,1.0,1.1,17 Sep,23 Sep,25 Oct,0,,
Leighton Hldgs,ordinary,LEI,I,45.0,-,45.0,50.00,-,-,20.0,-,10 Sep,16 Sep,3 Oct,0,,
Lend Lease Grp,unit/ord stapled,LLC,F,20.0,-,42.0,-,3,-,16.0,22.0,5 Sep,11 Sep,27 Sep,0,,
Lindsay Aust,ordinary,LAU,F,0.9,-,1.4,100,3,-,0.5,-,4 Sep,10 Sep,27 Sep,0,,
LogiCamms,ordinary,LCM,F,4.5,-,9.0,100,-,-,3.5,5.0,2 Sep,6 Sep,25 Sep,0,,
London City Equities,ordinary,LCE,F,1.0,-,1.0,100,4,-,-,1.0,9 Sep,13 Sep,24 Sep,0,,
Lycopodium,ordinary,LYL,F,21.0,-,36.0,100,-,-,-,21.0,26 Sep,2 Oct,15 Oct,0,,
M2 Telecomms,ordinary,MTU,F,10.0,-,20.0,100,3,-,9.0,9.0,30 Sep,4 Oct,25 Oct,0,,
MACA,ordinary,MLD,F,5.5,-,10.0,100,-,-,3.5,4.5,2 Sep,6 Sep,26 Sep,0,,
Macq Atlas Roads,ordinary stapled,MQA,I,3.3,-,3.3,-,-,-,-,-,17 Sep,23 Sep,4 Oct,1,,
Macquarie Radio,ordinary,MRN,F,5.0,-,10.0,100,-,-,2.5,1.5,2 Sep,6 Sep,20 Sep,0,,
Macq Telecom Grp,ordinary,MAQ,F,12.0,-,24.0,100,-,-,12.0,12.0,6 Sep,12 Sep,10 Oct,0,,
Magellan Fin Grp,ordinary,MFG,F,16.5,-,21.5,100,4,-,1.5,3.0,13 Sep,19 Sep,11 Oct,0,,
Magellan Flagship,ordinary,MFF,F,1.0,-,2.0,-,3,-,-,1.0,14 Oct,18 Oct,15 Nov,0,,
Mastermyne Grp,ordinary,MYE,F,3.6,-,6.9,100,-,-,3.0,4.8,23 Sep,27 Sep,16 Oct,0,,
MaxiTRANS Ind,ordinary,MXI,F,4.25,-,8.5,100,4,-,2.0,2.25,23 Sep,27 Sep,11 Oct,0,,
McPherson's,ordinary,MCP,F,7.0,-,17.0,100,3,-,10.0,7.0,2 Oct,9 Oct,12 Nov,0,,
Medical Develop,ordinary,MVP,F,2.0,-,5.0,100,3,-,3.0,3.0,2 Sep,6 Sep,11 Oct,0,,
Mermaid Marine,ordinary,MRM,F,7.0,-,12.5,100,3,-,5.0,6.0,2 Sep,6 Sep,27 Sep,0,,
MGM Wireless,ordinary,MWR,F,1.0,-,1.0,-,-,-,-,-,16 Sep,20 Sep,8 Nov,0,,
Mighty River Power,ordinary,MYT,F,6.2386,-,6.2386,-,-,-,-,-,5 Sep,11 Sep,30 Sep,0,,
Mincor Res,ordinary,MCR,F,2.0,-,4.0,100,-,-,2.0,2.0,22 Aug,28 Aug,25 Sep,0,,
Mineral Res,ordinary,MIN,F,32.0,-,48.0,100,3,-,16.0,30.0,16 Sep,20 Sep,25 Oct,0,,
Monadelphous Grp,ordinary,MND,F,75.0,-,137.0,100,3,-,50.0,75.0,9 Sep,13 Sep,20 Sep,0,,
Money3 Corp,ordinary,MNY,F,2.25,-,4.0,100,-,-,1.75,2.25,4 Oct,11 Oct,28 Oct,0,,
Mortgage Choice,ordinary,MOC,F,7.0,-,13.0,100,-,-,6.0,7.0,27 Aug,2 Sep,16 Sep,0,,
Mount Gibson Iron,ordinary,MGX,F,2.0,-,4.0,100,4,-,2.0,2.0,24 Sep,30 Sep,15 Oct,0,,
Myer Hldgs,ordinary,MYR,F,8.0,-,18.0,100,-,-,10.0,9.0,24 Sep,30 Sep,14 Nov,1,,
MyState,ordinary,MYS,F,14.0,-,28.0,100,-,-,-,14.0,9 Sep,13 Sep,4 Oct,0,,
NAOS Emerging Opp,ordinary,NCC,F,2.5,-,2.5,100,3,-,-,-,10 Oct,16 Oct,23 Oct,0,,
National Aust Bank,pref share,NABPA,Q1,105.86,-,105.86,100,-,-,-,110.24,30 Aug,5 Sep,20 Sep,0,,
NZ Oil & Gas,ordinary,NZO,F,2.5837,-,5.0148,-,3,-,-,4.6769,9 Sep,13 Sep,27 Sep,0,,
NIB Hldgs,ordinary,NHF,F,5.0,-,10.0,100,-,-,4.25,5.0,5 Sep,11 Sep,4 Oct,0,,
Nick Scali,ordinary,NCK,F,6.0,-,12.0,100,-,-,4.5,3.5,2 Oct,9 Oct,31 Oct,0,,
Northern Star Res,ordinary,NST,F,2.5,-,3.5,100,-,-,-,2.5,12 Aug,16 Aug,27 Sep,0,,
NRW Hldgs,ordinary,NWH,F,5.0,-,13.0,100,-,-,8.0,10.0,4 Oct,11 Oct,29 Oct,0,,
Oakton,ordinary,OKN,F,4.75,-,9.5,100,-,-,5.5,5.5,26 Aug,30 Aug,16 Sep,0,,
Oil Search,ordinary,OSH,I,2.1429,-,2.1429,-,3,-,1.9117,-,6 Sep,12 Sep,8 Oct,0,,
Origin Energy,ordinary,ORG,F,25.0,-,50.0,-,3,-,25.0,25.0,27 Aug,2 Sep,27 Sep,0,,
OZ Minerals,ordinary,OZL,I,10.0,-,10.0,-,4,-,10.0,-,5 Sep,11 Sep,25 Sep,0,,
Pacific Brands,ordinary,PBG,F,2.5,-,5.0,100,-,-,2.0,2.5,28 Aug,3 Sep,1 Oct,0,,
Pacific Energy,ordinary,PEA,F,1.0,-,1.0,100,-,-,-,-,27 Aug,2 Sep,16 Sep,0,,
Pacific Star Network,ordinary,PNW,F,1.0,-,1.59,-,-,-,1.05,0.55,9 Sep,13 Sep,4 Oct,0,,
